text,true_label,pred_label,confidence,safe_prob,toxic_prob
"Caution 

Please refrain from writing uncivil and shouting messages on my talk page. If you do that again you will be reported to the appropriate administrator's board. Also, please don't bother replying to this caution. Thank you.",toxic,safe,0.999992,0.999992,7.9737665e-06
"""

 Harry Potter is a Girl 

Dear Jimbo, I posted something here and it was archived because it was viewed that after a 3 day ban I was too expert in the use of WP:XXXX rules to be a newbie. It was said """"Will be archived: If you ever want to return, Jimbo can discuss this message (and your ADMINISTRATORS comment below) from his talk-page archives."""" I don't even know what that means. Here is my reply to the person that said that. And then the thing that was archived. The longer article was deleted off the page I put it on. I will glance back at my talk page to see if you have anything to say on this matter. If not I understand that it is not your issue. I would though prefer if you looked at it since that was my point, that people in power beneath you seem to want to bite the newbie to the point that the newbie is leaving and not coming back. They even suggested that my issue was with the WP:3RR rule which was not the issue. As a newbie I didn't know about that, and learned my lesson. It was with the time on the talk page being attacked by a WP:GANG / WP:TAGTEAM which are supported by administrators. So the person who archived my comments of your talk page didn't even get the point. Once I was told of the WP:3RR rule I never even touched the article again. Anyway hopefully you will actually read this before someone else finds a WP:XXXX rule as an excuse to delete it. 86.93.139.223  

So you understand, I had 3 days of a block to read the many WP:XXXX that were thrown at me, to then understand them. So while it might be hard for you to believe that someone can read in 3 days a bunch of WP:XXXX rules, it is not impossible. Actually I didn't have to read many, just the ones that were used against me to have me blocked. As I found, they were being totally misquoted against me. So yeah, you might find it hard to believe, you might also want to go to the Alkaline Diet article and look at how many people said exactly the same thing as I did in the past on the article. Is that hard to believe? Don't bother answering, just know that you might want to look at the history and deal with it. I don't understand why this was taken off Jimbo Wales' page by someone other than him with a note hard to believe. Isn't that his choice? Yes I would like him to discuss it with me. As I put it on his page with the express comment that the people (like you) who are in between him and me are the problem. So you making a personal judgement that someone can't read a few Wiki WP:XXXX rules in 3 days gives you the right to ignore my very detailed comments. Sorry but this is exactly the reason I contacted Jimbo and not you. Maximus. 86.93.139.223 (talk)  86.93.139.223  

Dear Jimbo, This is a part of a longer post on the Alkaline Diet page called Harry Potter is a Girl. As I am a newbie I don't know how to do links so copied it here. Sorry for taking your space up on your talk page. Also sorry for WP:TLDR. Please delete this if it is of no interest to you. I can't know what is and what is not of interest to you, and following WP:BOLD I am making my statement and you can decide what to do next. I have put it here as I wanted you to know of my experience here at Wikipedia and how after a few days due to repeated WP:BITE I am leaving Wikipedia editing never to return. Because the people between you and me are the problem I thought to go straight to the top. Sometimes the people at the top don't get told what is going on below them. Anyway thanks for Wikipedia. Good luck and perhaps reduce the number of rules / guidelines as I think they are being manipulated and misused. Maximus 86.93.139.223 (talk)  Will be archived: If you ever want to return, Jimbo can discuss this message (and your ADMINISTRATORS comment below) from his talk-page archives. See more comments further below. -Wikid77  THE ADMINISTRATORS: Dear administrators. As I am leaving Wiki editing after three days of being involved in it. I shall leave you with this information which I doubt you will read or care about, for my own self respect that I said it. I made a comment about the user Ronz for the administrator WormTT to read. As a newcomer to Wikipedia I followed the WP:BOLD rules and made a comment with uncertainty. I did not know if it was appropriate or not and I explained that with the very clear """"Sorry if this is not the appropriate way to communicate this, and please fell free to delete and ignore this message if that is the case."""" WormTT might have said """"Thanks I need to know that as I have to monitor that guy."""" Or WormTT might have said """"I don't need to know that, what were you doing telling me that?!"""" Being a newcomer I didn't know the answer to th",toxic,safe,0.999992,0.999992,7.935623e-06
"How much does it cost to buy your way into the inner circle, where you can do whatever the fuck you want to and anyone who complains gets banned? I have as much disposable income as these other jerks.
I think what I shall do, as the owner of HTTP://WWW.CLANYOUNG.INFO is to invoke copywrite and remove my contributions...",toxic,safe,0.9999919,0.9999919,8.075733e-06
"""

 Off to a crap start... 

""""Meadowhall is an indoor shopping centre in the Sheffield, South Yorkshire, England.  """"

Above is the opening sentence as I found it. Sheffield is not 'the Sheffield'. I've sorted this.   """,toxic,safe,0.9999919,0.9999919,8.0813115e-06
Algora Publishing does not seem onits own to meet WP:RS if one reads their manuscript submission rules etc..  It is per   Poor contract. Not recommended. A publisher.  Better sources should be found.,toxic,safe,0.9999918,0.9999918,8.191274e-06
There is just one sourced statement from a single artist and the source link isn't even provided.,toxic,safe,0.9999918,0.9999918,8.17735e-06
"denny who the fuck r u 

denny u little fuckchop who the fuck r u? dont send me messages about shit that doesnt involve u u little ass eater. my frend wants to scrap u cunt

Me ->   O
        |_ __O <- Your Mom
       _|_| \",toxic,safe,0.9999918,0.9999918,8.226503e-06
"""== Wikipedia:Articles for deletion/Jerry Dewayne Williams ==

Can you undo this and give it a few more days? —   
Sure.  If you think there's a possibility you can prove notability, I'm all for it.  I have no objection to you restoring it yourself, or I'm happy to restore it myself and so note the AfD.  Let me know which way you want to go with it.  - Philippe 

 Bosniaks 
Please google haplogroup I1b, and see if it reflects Bosniaks texts related to genetics, such as highlights that Bosniaks are firstly of Slavic genetic heritage. Because the consesus is clearly dominated by one or more Serb editors with multiple nicknames. And you keep banning all Bosniak interests and everybody who this Serbian based vandal group dismiss. My advice, just read for a while about haplogroup I1b and you will see that Everybody says it is isolated in Bosniak based populous and drops amazingly when outside of their regions. Find some maps from gov based sources that do not generalise to nations, instead look at maps that offer higher resolutions and zooms. 77.78.198.147  

I think you mistake me for someone with a stake in the content of that article.  I have no - zero - none - interest in getting involved in that content dispute.  My sole motivation in protection the page was to prevent the back and forth blind reversions that were going on and force the parties to the article's talk page to discuss it.  So, rather than bringing this information to me here, take it to the article's talk page.  I will not take a stand on content for that page.  - Philippe 
 It is rather useless to take it to talk pages, as I said the consensus is bullied away from reflecting sources, instead they are """"exterminate Bosniaks and their heritage"""" POW because """"we know Admins will be too blind to notice"""" 77.78.198.147  
 Well, we're certainly not going to allow it on the article if it's not in consensus.  May I suggest dispute resolution?  - Philippe 
 Yah ok, thanks, done. 77.78.198.147  
Wikipedia:Responsible Editing Pledge
Would you give your consideration to signing this pledge from doc Glasgow. Thanks,  
Thank you for calling it to my attention.  Since this is my only account and it's easily linkable to my real name, I have no problem signing the pledge, though I would not support it as a mandatory rule for anyone other than myself.  Interesting concept, and I appreciate that you brought it to me.  It's something to think about, clearly.  - Philippe 

 Question 

I'm working on an article about the Old Stone House in one of my sandboxes. I stopped by the house a few days ago and picked up a brochure for research. Some of the info is not accessible online (or else I'm just not finding it) and I'm wondering how I reference a brochure. It was made by the National Park Service, so it's definitely a RS. Also, I laughed when I read your comment and I responded. Thanks.  yada yada 
 You said you'd never tell!    I think for citation purposes, I'd treat a brochure as a book (although, obviously) without the ISBN number.  Details are at Wikipedia:CITE#FULL.  To be sure, though, you might ask over at the WP:REFDESK, because I've never done that before.  - Philippe 
Ok, thanks. I use the HD alot, but the one time I used the RD I didn't get an answer. I'll try there again. [[User:AgnosticPreachersKid|APK",toxic,safe,0.99999166,0.99999166,8.330017e-06
"Point taken.  It's a little bit vague, but crtiterion 5 of WP:ELNO may prohibit these links.  I will not restore them.",toxic,safe,0.99999166,0.99999166,8.2974775e-06
"Context of the Women's Health Movement 
I think it is important to note the context of which Carol Downer figured out how to do vaginal self-exam and menstrual extraction during the woman’s health movement at this time, the early 1970’s, abortion, birth control and fertility information were not available to women. In addition, there were an estimated 5000 deaths a year from illegal abortion. This concept helped put reproduction and the woman’s body back into the hands of the woman in a safe way. I also feel as though some of the language used in this article has a negative connotation. For example, when it is stated that she “promoted a procedure called menstrual extraction... if she were pregnant, this would constitute a non-professional abortion.” it sounds as if the article is trying to claim that she promoted abortions, which isn’t necessarily true. What she did promote was women reclaiming their bodies and taking them out of the hands of the male-dominated medical world and into their own. She PROVIDED women with means to learn about their bodies at a time where birth control did not exist. I also think it should be noted that after Roe v. Wade, she traveled to Europe, Canada, New Zealand and Mexico, to name a few, and attended national and international conferences as advocates of women’s health rights. In addition, I think it should be specified what the Roe v. Wade decision entailed, and how it made abortion legalized so she was therefore able to establish the women-run clinics. Roe v. Wade has a Wikipedia article and can be linked. 

These contributions are important because the context all of this was a very important time in Women’s Health History. Mentioning the context of the women’s health movement and how she was providing women with the means to take control of their fertility and reproduction when they had no other means to do so and could even face legal persecutions if they did. By adding this, the article will make more sense, especially because it mentions her arrest and things like the Roe v. Wade trial.

From an ES/WGS perspective, the revolutionary time where woman began to take back the control of their bodies. There are many misconceptions around things like abortion even still today. Woman have been criminalized for performing or having abortions in history and even today. And I think it is important to take note of that. Also, Carol Downer has played such a crucial role in Women’s Health and Feminist activism, I was surprised at how short her article was. I also think that The Women’s Health Movement should have it’s own article on Wikipedia (currently there is “Feminist health centers” and “Women’s Health” and “Feminist Movement”)",toxic,safe,0.99999166,0.99999166,8.291071e-06
"Hi . I currently have an article nominated at FAC (see here), which unfortunately isn't getting much attention. Anyway I can only nominate one article at a time myself, so unless you or  want to co-nominate it with me (up to you, no pressure), i'm going to have to wait until my currently FAC is closed or passed before I can nominate to by myself.",toxic,safe,0.9999914,0.9999914,8.616334e-06
{{unblock|You sorry bastard.  You blocked me for removing unwanted edits from my own talk page.below.}},toxic,safe,0.9999914,0.9999914,8.5310685e-06
I suggest to move our talk about [Guoyue to talk: Guoyue -,toxic,safe,0.9999914,0.9999914,8.584018e-06
"Is anyone from Morphett Vale here? 

Hey, just wondering, is there anyone who lives in Morphett Vale on the site?",toxic,safe,0.9999914,0.9999914,8.618421e-06
"""
 just for the record as  has made an edit (see topic """"Ongoing debate: after the laws"""" below):
 The phrase """"Indian academics"""", etc. is often used to refer to academics in India, not those of Indian race. The real issue is the sentence does not need two """"Australian"""", first one removed.
 The phrase """"professional opinion"""" is often used to distinguish them from """"personal opinion"""" when referring to opinions from professionals. You will hear professionals say """"In my personal opinion"""" and """"In my professional opinion"""".
 This article is about Australia and things that have happened/are happening in Australia. This item is referring to the debate *in* Australia and *about* Australia. You yourself have previously emphasised this and made the point that non-Australian material goes elsewhere so it is strange you should now ask why it isn't included here.
 The issue on referring to academic work has previously been discussed.
 The line between what is, and what is not, editorial is a gray one. Having said that in this case the first sentence establishes the existence of the continuing debate, the second the role of academics within that debate. Dropping it would remove information, but what remains would not be incorrect.
 Some of your other comments are unfounded and inappropriate, please remember WP:CIVIL.
Any further discussions on this section should be made under the topic """"Ongoing debate: after the laws"""" started by  below.   """,toxic,safe,0.9999913,0.9999913,8.753639e-06
I've notified you again on your talk page.,toxic,safe,0.9999913,0.9999913,8.674939e-06
"Twit 

Your just another petty fascist.
You clowns are feeble (certainly in mind).",toxic,safe,0.9999913,0.9999913,8.709357e-06
"""

No one claims the average depth is 115 deep; rather, that is stated to be the maximum depth. No one has cited any source that this maximum depth (which is supported by citations) is incorrect. As for the argument that deeper water is a darker color, while that may be true in the ocean (though no one here has actually cited a source), it doesn't follow that this is true of a swimming pool where the bottom could be painted. 

So - citations, please. Otherwise the article should stay as is.     (♫♫) """,toxic,safe,0.9999912,0.9999912,8.86749e-06
Point of List of Native App Request for iPhone,toxic,safe,0.99999106,0.99999106,8.973812e-06
"What was the article? 

Looks like it was fully deleted; do you remember or have a saved copy of that article?  Sounds hilarious just from the title alone.",toxic,safe,0.99999106,0.99999106,8.969158e-06
"Im troubled that there is a description that Mr Flanagan is a 'revisionist'. There is more than one aveune of looking at the 'rights' accorded natives. I would like to see a balanced and nuetral point by point breakdown of his thesis by outside parties, preferably out of Canada and the United States that flatly can prove he is a revisionist. Shot of that im going to remove the remark",toxic,safe,0.9999907,0.9999907,9.319413e-06
"""
It is just a matter of which is more notable and well known to people in the """"world"""", not just for native English speakers. Do you really think that the early 20th's Rosenthal is more notable than Meissen to people? Caspian blue """,toxic,safe,0.9999906,0.9999906,9.474345e-06
"reolution 585p/720p
why is there no resolution in the infobox? is it because it is SD (585) like Halo 3 and Haze or some?",toxic,safe,0.9999906,0.9999906,9.3824865e-06
"""

I can agree with just about all of that. Thank you for making it clearer, and thank you for educating me about North Queensland. I had no idea they were so obsessed. I still think, though, that the Barassi line is a useful indicator for that southern boundary between """"most popular codes"""", and hence language. I think your use of the word """"resistance"""" is not quite right. The point is that in Adelaide, Perth and Melbourne, etc, """"football"""" largely means something else, and only one """"something else"""". Those who use it that way aren't going to stop using it that way because another sport to wants make """"football"""" its name. that means Those people will keep using the old name, """"soccer"""", for that sport.   """,toxic,safe,0.99999046,0.99999046,9.5651485e-06
"Re Efghi's complete list of those accepting Jerusalem as the Israeli capital, I knew the list was small, but 3 countries! Yikes! If Efghi is correct and only Costa Rica, El Salvador, United States accept Jerusalem as Israel's capital, that means in or around 150 don't, in which case we cannot possibly put down Jerusalem on its own as the capital. Even World Book, notorious as the most right encyclopædia, and the most pro-Israeli, used to list Tel Aviv not merely as one of the capitals, but the only one. That clearly would be wrong here (after all, since those days, the list of those accepting Jerusalem has grown from 2 to 3!) but both should be in, with the footnote explaining how the state of Israel insists on one city, and the diplomatic world bar 3 on another.  02:20 11 Jul 2003 (UTC)",toxic,safe,0.99999034,0.99999034,9.678802e-06
"The warning you gave me 

I did provide a reason in the talk page, the entry was redundant because someone had re-written the section but forgot to delete the old section which they had edited. The old section referred to a cancelled military vehicle which had already been discussed and linked to on the page. In the future please actually check to see if there is a reason being given on the talk page instead of deleting it.",toxic,safe,0.99999034,0.99999034,9.625928e-06
Christian Morecraft - Heavyweight,toxic,safe,0.99999034,0.99999034,9.694738e-06
